,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement achetée <eos>,7,achetée,acheté,1,achetée,-9.556253,acheté,-11.406204,1
1,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement brisée <eos>,7,brisée,brisé,1,brisée,-8.772534,brisé,-11.213887,1
2,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement cachée <eos>,7,cachée,caché,1,cachée,-5.430381,caché,-9.226656,1
3,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement cassée <eos>,7,cassée,cassé,1,cassée,-9.355247,cassé,-10.23119,1
4,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement couverte <eos>,7,couverte,couvert,1,couverte,-8.208246,couvert,-10.025336,1
5,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement déformée <eos>,7,déformée,déformé,1,déformée,-8.195908,déformé,-11.638272,1
6,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement fixée <eos>,7,fixée,fixé,1,fixée,-9.098036,fixé,-11.215048,1
7,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement jetée <eos>,7,jetée,jeté,1,jetée,-8.74888,jeté,-10.699437,1
8,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement laissée <eos>,7,laissée,laissé,1,laissée,-7.287403,laissé,-9.749354,1
9,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement ouverte <eos>,7,ouverte,ouvert,1,ouverte,-6.5993404,ouvert,-10.759402,1
10,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement perdue <eos>,7,perdue,perdu,1,perdue,-6.9881783,perdu,-9.778406,1
11,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement réparée <eos>,7,réparée,réparé,1,réparée,-11.480915,réparé,-12.863033,1
12,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement retirée <eos>,7,retirée,retiré,1,retirée,-9.388845,retiré,-11.463774,1
13,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement tombée <eos>,7,tombée,tombé,1,tombée,-7.768446,tombé,-9.7475195,1
14,S_NOUN_1_PAR,F,S,je ne vois pas de gemme probablement utilisée <eos>,7,utilisée,utilisé,1,utilisée,-6.9496813,utilisé,-9.3661,1
15,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement achetée <eos>,7,achetée,acheté,1,achetée,-10.066442,acheté,-13.391947,1
16,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement brisée <eos>,7,brisée,brisé,1,brisée,-8.652908,brisé,-11.029041,1
17,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement cachée <eos>,7,cachée,caché,1,cachée,-6.161399,caché,-9.078477,1
18,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement cassée <eos>,7,cassée,cassé,1,cassée,-10.002527,cassé,-10.889123,1
19,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement couverte <eos>,7,couverte,couvert,1,couverte,-7.5528398,couvert,-9.90728,1
20,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement déformée <eos>,7,déformée,déformé,1,déformée,-8.336437,déformé,-11.16795,1
21,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement fixée <eos>,7,fixée,fixé,1,fixée,-7.379257,fixé,-9.39112,1
22,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement jetée <eos>,7,jetée,jeté,1,jetée,-9.461534,jeté,-10.5893955,1
23,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement laissée <eos>,7,laissée,laissé,1,laissée,-6.8753796,laissé,-8.987119,1
24,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement ouverte <eos>,7,ouverte,ouvert,1,ouverte,-7.1290035,ouvert,-11.374481,1
25,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement perdue <eos>,7,perdue,perdu,1,perdue,-7.0588417,perdu,-10.642698,1
26,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement réparée <eos>,7,réparée,réparé,1,réparée,-11.181689,réparé,-12.623152,1
27,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement retirée <eos>,7,retirée,retiré,1,retirée,-9.267155,retiré,-11.48736,1
28,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement tombée <eos>,7,tombée,tombé,1,tombée,-7.519566,tombé,-9.696084,1
29,S_NOUN_1_PAR,F,S,on ne voit pas de gemme probablement utilisée <eos>,7,utilisée,utilisé,1,utilisée,-5.880909,utilisé,-8.512181,1
30,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement achetée <eos>,7,achetée,acheté,1,achetée,-10.267394,acheté,-12.916368,1
31,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement brisée <eos>,7,brisée,brisé,1,brisée,-7.7071114,brisé,-11.612707,1
32,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement cachée <eos>,7,cachée,caché,1,cachée,-6.1214504,caché,-9.529553,1
33,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement cassée <eos>,7,cassée,cassé,1,cassée,-8.646967,cassé,-10.655533,1
34,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement couverte <eos>,7,couverte,couvert,1,couverte,-7.806636,couvert,-9.482106,1
35,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement déformée <eos>,7,déformée,déformé,1,déformée,-8.755104,déformé,-12.022015,1
36,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement fixée <eos>,7,fixée,fixé,1,fixée,-7.0773463,fixé,-10.789486,1
37,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement jetée <eos>,7,jetée,jeté,1,jetée,-8.775305,jeté,-10.8022995,1
38,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement laissée <eos>,7,laissée,laissé,1,laissée,-8.527389,laissé,-11.088098,1
39,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement ouverte <eos>,7,ouverte,ouvert,1,ouverte,-5.8512063,ouvert,-9.576389,1
40,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement perdue <eos>,7,perdue,perdu,1,perdue,-8.834776,perdu,-10.134153,1
41,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement réparée <eos>,7,réparée,réparé,1,réparée,-9.749979,réparé,-11.975542,1
42,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement retirée <eos>,7,retirée,retiré,1,retirée,-8.682848,retiré,-12.38917,1
43,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement tombée <eos>,7,tombée,tombé,1,tombée,-7.8485813,tombé,-9.698681,1
44,S_NOUN_1_PAR,F,S,je ne vois pas de chaise probablement utilisée <eos>,7,utilisée,utilisé,1,utilisée,-6.5280895,utilisé,-9.197319,1
45,S_NOUN_1_PAR,F,S,on ne voit pas de chaise probablement achetée <eos>,7,achetée,acheté,1,achetée,-9.755482,acheté,-13.16702,1
46,S_NOUN_1_PAR,F,S,on ne voit pas de chaise probablement brisée <eos>,7,brisée,brisé,1,brisée,-7.6654234,brisé,-11.383179,1
