,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_REL,F,S,je vois l' aiguille sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-4.4748225,lequel,-5.2068467,1
1,S_NOUN_1_REL,F,S,je vois l' aile sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-3.8068948,lequel,-5.744118,1
2,S_NOUN_1_REL,F,S,je vois l' amande sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-5.325754,lequel,-6.434745,1
3,S_NOUN_1_REL,F,S,je vois l' ampoule sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-4.5561666,lequel,-5.653265,1
4,S_NOUN_1_REL,F,S,je vois l' épice sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-3.8566823,lequel,-5.5749335,1
5,S_NOUN_1_REL,F,S,je vois l' épine sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-4.022031,lequel,-6.3009996,1
6,S_NOUN_1_REL,F,S,je vois l' unité sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-3.6683717,lequel,-5.3765063,1
7,S_NOUN_1_REL,F,S,je vois l' orange sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-5.876712,lequel,-5.499549,0
8,S_NOUN_1_REL,F,S,je vois l' éponge sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-4.4469953,lequel,-5.0817924,1
9,S_NOUN_1_REL,F,S,je vois l' épée sur laquelle je peux écrire <eos>,5,laquelle,lequel,1,laquelle,-4.549305,lequel,-6.199998,1
10,S_NOUN_1_REL,M,S,je vois l' arbre sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-1.9984555,laquelle,-4.9098334,1
11,S_NOUN_1_REL,M,S,je vois l' anneau sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-2.281364,laquelle,-5.88794,1
12,S_NOUN_1_REL,M,S,je vois l' éclair sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-5.4688516,laquelle,-7.2922454,1
13,S_NOUN_1_REL,M,S,je vois l' album sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-3.6456618,laquelle,-7.384771,1
14,S_NOUN_1_REL,M,S,je vois l' objet sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-3.6302145,laquelle,-6.554556,1
15,S_NOUN_1_REL,M,S,je vois l' ustensile sur lequel je peux écrire <eos>,5,lequel,laquelle,1,lequel,-2.5385823,laquelle,-5.971516,1
