,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très verte <eos>,7,verte,vert,1,verte,-7.0291758,vert,-10.017734,1
1,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très bleue <eos>,7,bleue,bleu,1,bleue,-7.1078405,bleu,-9.869829,1
2,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très noire <eos>,7,noire,noir,1,noire,-6.3767204,noir,-8.90923,1
3,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très délicate <eos>,7,délicate,délicat,1,délicate,-7.179531,délicat,-10.24998,1
4,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très pointue <eos>,7,pointue,pointu,1,pointue,-9.663286,pointu,-9.75515,1
5,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très ronde <eos>,7,ronde,rond,1,ronde,-9.459541,rond,-11.220091,1
6,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très froide <eos>,7,froide,froid,1,froide,-6.575,froid,-8.274534,1
7,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très chaude <eos>,7,chaude,chaud,1,chaude,-5.606818,chaud,-8.36407,1
8,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très importante <eos>,7,importante,important,1,importante,-4.5133753,important,-7.886606,1
9,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très courte <eos>,7,courte,court,1,courte,-5.5279264,court,-8.00664,1
10,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très dure <eos>,7,dure,dur,1,dure,-6.455287,dur,-6.7521706,1
11,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très claire <eos>,7,claire,clair,1,claire,-4.079417,clair,-7.3645267,1
12,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très intéressante <eos>,7,intéressante,intéressant,1,intéressante,-5.435654,intéressant,-7.754482,1
13,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très brillante <eos>,7,brillante,brillant,1,brillante,-6.108766,brillant,-8.119833,1
14,S_NOUN_1_ADJ,F,S,je ne vois pas de gemme très compliquée <eos>,7,compliquée,compliqué,1,compliquée,-7.8970866,compliqué,-9.162466,1
15,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très verte <eos>,7,verte,vert,1,verte,-7.06091,vert,-10.484309,1
16,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très bleue <eos>,7,bleue,bleu,1,bleue,-7.782454,bleu,-10.552099,1
17,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très noire <eos>,7,noire,noir,1,noire,-6.4980555,noir,-9.086766,1
18,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très délicate <eos>,7,délicate,délicat,1,délicate,-7.663947,délicat,-10.327688,1
19,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très pointue <eos>,7,pointue,pointu,1,pointue,-9.109716,pointu,-10.440208,1
20,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très ronde <eos>,7,ronde,rond,1,ronde,-8.614971,rond,-11.680748,1
21,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très froide <eos>,7,froide,froid,1,froide,-7.099677,froid,-9.376196,1
22,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très chaude <eos>,7,chaude,chaud,1,chaude,-6.9784126,chaud,-8.561514,1
23,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très importante <eos>,7,importante,important,1,importante,-3.3985732,important,-6.8433685,1
24,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très courte <eos>,7,courte,court,1,courte,-5.0759172,court,-7.539342,1
25,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très dure <eos>,7,dure,dur,1,dure,-7.293279,dur,-7.936032,1
26,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très claire <eos>,7,claire,clair,1,claire,-3.3975663,clair,-7.589722,1
27,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très intéressante <eos>,7,intéressante,intéressant,1,intéressante,-5.7574234,intéressant,-8.340926,1
28,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très brillante <eos>,7,brillante,brillant,1,brillante,-6.1405387,brillant,-8.148861,1
29,S_NOUN_1_ADJ,F,S,on ne voit pas de gemme très compliquée <eos>,7,compliquée,compliqué,1,compliquée,-7.9957924,compliqué,-9.834688,1
30,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très verte <eos>,7,verte,vert,1,verte,-7.7296524,vert,-11.749016,1
31,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très bleue <eos>,7,bleue,bleu,1,bleue,-9.166896,bleu,-12.001885,1
32,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très noire <eos>,7,noire,noir,1,noire,-6.834405,noir,-10.360584,1
33,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très délicate <eos>,7,délicate,délicat,1,délicate,-6.4164886,délicat,-9.79064,1
34,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très pointue <eos>,7,pointue,pointu,1,pointue,-7.767331,pointu,-9.165716,1
35,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très ronde <eos>,7,ronde,rond,1,ronde,-8.59293,rond,-9.762613,1
36,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très froide <eos>,7,froide,froid,1,froide,-5.7746067,froid,-10.118516,1
37,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très chaude <eos>,7,chaude,chaud,1,chaude,-5.7632837,chaud,-8.968259,1
38,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très importante <eos>,7,importante,important,1,importante,-4.8024883,important,-8.076387,1
39,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très courte <eos>,7,courte,court,1,courte,-3.116702,court,-6.6976748,1
40,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très dure <eos>,7,dure,dur,1,dure,-6.934082,dur,-6.713993,0
41,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très claire <eos>,7,claire,clair,1,claire,-4.8898597,clair,-9.000721,1
42,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très intéressante <eos>,7,intéressante,intéressant,1,intéressante,-6.0409703,intéressant,-9.058845,1
43,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très brillante <eos>,7,brillante,brillant,1,brillante,-6.3999624,brillant,-10.095496,1
44,S_NOUN_1_ADJ,F,S,je ne vois pas de chaise très compliquée <eos>,7,compliquée,compliqué,1,compliquée,-6.6356854,compliqué,-8.489584,1
45,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très verte <eos>,7,verte,vert,1,verte,-8.443396,vert,-12.565114,1
46,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très bleue <eos>,7,bleue,bleu,1,bleue,-9.206571,bleu,-13.183469,1
47,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très noire <eos>,7,noire,noir,1,noire,-7.3983207,noir,-11.35309,1
48,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très délicate <eos>,7,délicate,délicat,1,délicate,-6.6980715,délicat,-9.464146,1
49,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très pointue <eos>,7,pointue,pointu,1,pointue,-7.8633685,pointu,-9.169449,1
50,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très ronde <eos>,7,ronde,rond,1,ronde,-7.4128857,rond,-9.890216,1
51,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très froide <eos>,7,froide,froid,1,froide,-6.136715,froid,-11.65255,1
52,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très chaude <eos>,7,chaude,chaud,1,chaude,-6.5439034,chaud,-9.10028,1
53,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très importante <eos>,7,importante,important,1,importante,-4.149497,important,-7.598877,1
54,S_NOUN_1_ADJ,F,S,on ne voit pas de chaise très courte <eos>,7,courte,court,1,courte,-2.4973001,court,-5.524639,1
