Noun,Gender,Number,Article
gemme,F,S,la
chaise,F,S,la
poubelle,F,S,la
chemise,F,S,la
recette,F,S,la
jupe,F,S,la
colle,F,S,la
lampe,F,S,la
bouteille,F,S,la
boisson,F,S,la
pomme,F,S,la
tasse,F,S,la
bougie,F,S,la
pochette,F,S,la
banane,F,S,la
robe,F,S,la
valise,F,S,la
ampoule,F,S,la
cloche,F,S,la
cerise,F,S,la
gemmes,F,P,les
chaises,F,P,les
poubelles,F,P,les
chemises,F,P,les
recettes,F,P,les
jupes,F,P,les
colles,F,P,les
lampes,F,P,les
bouteilles,F,P,les
boissons,F,P,les
pommes,F,P,les
tasses,F,P,les
bougies,F,P,les
pochettes,F,P,les
bananes,F,P,les
robes,F,P,les
valises,F,P,les
ampoules,F,P,les
cloches,F,P,les
cerises,F,P,les
bracelet,M,S,le
miroir,M,S,le
crayon,M,S,le
rideau,M,S,le
cahier,M,S,le
micro,M,S,le
sac,M,S,le
clavier,M,S,le
raisin,M,S,le
chargeur,M,S,le
vase,M,S,le
panier,M,S,le
collier,M,S,le
chapeau,M,S,le
pot,M,S,le
coussin,M,S,le
jouet,M,S,le
clou,M,S,le
billet,M,S,le
légume,M,S,le
bracelets,M,P,les
miroirs,M,P,les
crayons,M,P,les
rideaux,M,P,les
cahiers,M,P,les
micros,M,P,les
sacs,M,P,les
claviers,M,P,les
raisins,M,P,les
chargeurs,M,P,les
vases,M,P,les
paniers,M,P,les
colliers,M,P,les
chapeaux,M,P,les
pots,M,P,les
coussins,M,P,les
jouets,M,P,les
clous,M,P,les
billets,M,P,les
légumes,M,P,les
